OID_,MapTaxlot,instName,Shape_Length,Shape_Area
1,41006B000100,Cannon Beach,6564.019095703181847,2396072.945254981517792
2,41006B000200,Cannon Beach,1575.255342007013496,143147.581332849251339
3,41006B000300,Cannon Beach,699.904822378680365,21247.514852732121653
4,41006B000400,Cannon Beach,1419.204906303110874,108849.235375119314995
5,41006BC00100,Cannon Beach,345.474185808481081,6128.440239911947174
6,41006BC00200,Cannon Beach,344.112419187969181,6094.357614234551875
7,41006BC00300,Cannon Beach,342.750440353535396,6060.361258165874460
8,41006BC00301,Cannon Beach,341.386662462683148,6026.141819028553982
9,41006BC00400,Cannon Beach,339.176525648329402,5970.744468270001562
10,41006BC00500,Cannon Beach,337.813767365394824,5936.694777821514435
11,41006BC00600,Cannon Beach,336.451894845392474,5902.635992520795298
12,41006BC00700,Cannon Beach,335.088167054411201,5868.377493243523531
13,41006BC00800,Cannon Beach,333.727439476477286,5834.379720755301605
14,41006BC00900,Cannon Beach,332.365805964421838,5800.270380434004437
15,41006BC00901,Cannon Beach,332.386978687949863,5850.398794118992555
17,41006BC01000,Cannon Beach,172.000902333410920,1796.908247014337576
18,41006BC01100,Cannon Beach,228.000764492322531,3194.501683471977231
19,41006BC01200,Cannon Beach,249.999985596726020,2495.658639474892880
20,41006BC01300,Cannon Beach,249.999788385224292,2495.672225671270553
21,41006BC01400,Cannon Beach,300.000585067946190,4991.395945398361619
22,41006BC01500,Cannon Beach,300.000585070885222,4991.395945457974449
23,41006BC01700,Cannon Beach,299.998683768451542,4993.839597628256342
24,41006BC01800,Cannon Beach,300.000628377674957,4993.914415279880814
25,41006BC01900,Cannon Beach,300.001725788121632,4993.941759616184754
26,41006BC02000,Cannon Beach,300.000681325652636,4993.889353395121361
27,41006BC02100,Cannon Beach,300.000628377673991,4993.914415353350705
28,41006BC02101,Cannon Beach,299.999682569331355,4993.866941964560283
29,41006BC02200,Cannon Beach,151.983789169124748,1299.327066501431773
30,41006BC02201,Cannon Beach,208.434187050233021,2708.070111980367983
31,41006BC02202,Cannon Beach,154.514707769569782,1360.354744676937571
32,41006BC02300,Cannon Beach,318.131940358668487,5447.825688491583605
33,41006BC02400,Cannon Beach,321.333154092798679,5527.894507810899086
34,41006BC02500,Cannon Beach,324.536442828632175,5608.063883031405567
35,41006BC02600,Cannon Beach,314.927223655237242,5372.203741529194303
36,41006BC02700,Cannon Beach,321.316128843669901,5531.856238471649704
37,41006BC02701,Cannon Beach,318.123154488814293,5452.096640060744903
38,41006BC02800,Cannon Beach,324.513032935053104,5611.832505747852338
39,41006BC02900,Cannon Beach,329.907430922849414,5743.162649765125025
40,41006BC03000,Cannon Beach,333.108241285357167,5823.191753131618498
41,41006BC03001,Cannon Beach,329.928766757908761,5747.466876952540588
42,41006BC03002,Cannon Beach,333.123722556568396,5827.360378342313197
43,41006BC03100,Cannon Beach,340.589001751632964,5980.591269543517228
44,41006BC03101,Cannon Beach,337.387166948964023,5906.108797501958179
45,41006BC03200,Cannon Beach,342.714209067302818,6063.432612592157966
46,41006BC03300,Cannon Beach,347.561392238787619,7372.335451634651690
47,41006BC03301,Cannon Beach,300.042401342436904,4994.823269184002129
48,41006BC03400,Cannon Beach,339.512985949227073,5987.037787316465256
49,41006BC03401,Cannon Beach,336.318793693517136,5907.225443939669276
50,41006BC03500,Cannon Beach,345.905110814384614,6146.854208496426509
51,41006BC03501,Cannon Beach,342.708157145909240,6066.907952732406557
52,41006BC03502,Cannon Beach,349.111921583902813,6226.990487377133832
53,41006BC03600,Cannon Beach,409.121962149831631,7627.335035680856890
54,41006BC03601,Cannon Beach,379.153902219720521,6046.965739171698260
55,41006BC03700,Cannon Beach,359.092756707326771,6461.022802344167758
56,41006BC03701,Cannon Beach,349.065701373106833,6210.376285079073568
57,41006BC03800,Cannon Beach,321.466623849148448,5531.295217861963465
58,41006BC03801,Cannon Beach,331.525868131460300,5782.761984593649686
59,41006BC03900,Cannon Beach,311.395364370046423,5279.556720978292105
60,41006BC04000,Cannon Beach,291.012422314931541,4766.991695260190681
61,41006BC04001,Cannon Beach,301.847618605178525,5055.625113499926556
62,41006BC04100,Cannon Beach,280.977186832412372,4516.299202470861928
63,41006BC04200,Cannon Beach,270.942564206362420,4265.624481147071492
64,41006BC04300,Cannon Beach,265.941713508960731,4148.214718739945056
65,41006BC04400,Cannon Beach,441.022914969080205,10535.030246777521825
66,41006BC04500,Cannon Beach,278.245817700961311,4780.702030786279465
67,41006BC04501,Cannon Beach,303.915939079578152,5766.391317889161655
68,41006BC04600,Cannon Beach,279.556954307564297,4773.976940686961825
69,41006BC04601,Cannon Beach,255.879512332745435,747.055286630154114
70,41006BC04700,Cannon Beach,431.196753346556704,8297.386892611371877
71,41006BC04800,Cannon Beach,441.778193092644983,8538.351933484371330
72,41006BC04900,Cannon Beach,437.242987743672074,8425.506357788353853
73,41006BC05000,Cannon Beach,422.851401144274746,8062.986185150910387
74,41006BC05002,Cannon Beach,410.387195408602281,7752.958587708993946
75,41006BC05100,Cannon Beach,322.725034497498484,6138.146389547727267
76,41006BC05400,Cannon Beach,402.628332299538897,10116.666661931642011
77,41006BC05500,Cannon Beach,302.369406414791854,5050.812431729952550
78,41006BC05600,Cannon Beach,321.903183839536041,5538.005686205786333
79,41006BC05700,Cannon Beach,401.082541644034109,10037.220363799266124
80,41006BC05800,Cannon Beach,311.701852129339727,5267.881069438098166
81,41006BC05900,Cannon Beach,300.007018942203217,4992.754004781316326
82,41006BC06000,Cannon Beach,300.004763974964135,4992.693386414782253
83,41006BC06100,Cannon Beach,300.006496938377722,4992.782378424732087
84,41006BC06200,Cannon Beach,300.001725772558416,4993.941758835288965
85,41006BC06300,Cannon Beach,338.910768272787095,5965.083124035892070
86,41006BC06400,Cannon Beach,338.239169935406494,5948.261569283053177
87,41006BC06500,Cannon Beach,337.564279456502959,5931.365039881415214
88,41006BC06600,Cannon Beach,659.792796867511015,17978.942352447069425
89,41006BC06602,Cannon Beach,300.112822166673425,4998.993751019913361
90,41006BC06700,Cannon Beach,657.468319679814158,22676.989547899371246
91,41006BC06800,Cannon Beach,399.999879781233176,10000.045251982573973
92,41006BC06900,Cannon Beach,299.999200948137513,4999.948400516919719
93,41006BC06901,Cannon Beach,299.999094148283632,4999.969359579285992
94,41006BC06902,Cannon Beach,299.999201062747090,4999.983265187762299
95,41006BC06903,Cannon Beach,300.000146114781785,5000.021824282968737
96,41006BC07000,Cannon Beach,300.001091273438249,4999.994322865985851
97,41006BC07100,Cannon Beach,407.999337739107034,5400.021532106808081
98,41006BC07200,Cannon Beach,349.998541814997225,5599.907308325871782
99,41006BC07300,Cannon Beach,300.001198113179782,5000.048258591280501
100,41006BC07400,Cannon Beach,299.999094148283746,4999.969359579285992
101,41006BC07500,Cannon Beach,300.000146118089390,4999.996993723499145
102,41006BC07600,Cannon Beach,300.000146118089390,4999.996993723499145
103,41006BC07701,Cannon Beach,300.001198099095916,5000.048258259074828
104,41006BC07800,Cannon Beach,209.999654805169570,500.013183076118764
105,41006BC07801,Cannon Beach,209.999654789479735,500.011847810427412
106,41006BC07900,Cannon Beach,379.998292585625791,5999.958639020784176
107,41006BC08000,Cannon Beach,379.999344599202971,6999.995605677087951
108,41006BC08100,Cannon Beach,405.078307460780820,7625.046222050140386
109,41006BC08201,Cannon Beach,604.632181511200770,12463.803923273490000
110,41006BC08300,Cannon Beach,305.999632760116413,5299.995331145503769
111,41006BC08400,Cannon Beach,300.000252918439742,5000.025963450001655
112,41006BC08500,Cannon Beach,299.999094118523828,4999.969358835293860
113,41006BC08600,Cannon Beach,300.000146148907561,4999.996994899178389
114,41006BC08601,Cannon Beach,501.742504138946344,9841.602603228813678
115,41006BC08602,Cannon Beach,300.000146113089443,5000.020622771385206
116,41006BC08603,Cannon Beach,300.000146111769823,3200.028790706255677
117,41006BC08604,Cannon Beach,300.000146117556199,4999.996993723499145
118,41006BC08700,Cannon Beach,416.187359816474213,7902.813847736059870
119,41006BC09200,Cannon Beach,299.999200968784578,4999.974700442213361
120,41006BC09300,Cannon Beach,300.174607352393537,4023.529468732583155
121,41006BC09400,Cannon Beach,376.073200232640886,7845.417104606607609
122,41006BC09500,Cannon Beach,515.403354292983408,8056.179619756931970
123,41006BC09600,Cannon Beach,361.312568225887617,7943.271077409272948
124,41006BC09700,Cannon Beach,360.227294538256558,7872.635658272074579
125,41006BC09800,Cannon Beach,299.999200963813450,4999.948400888912147
126,41006BC09801,Cannon Beach,299.999094148283802,4999.969359931385043
127,41006BC09802,Cannon Beach,380.324387442593320,7799.812281909968078
128,41006BC09900,Cannon Beach,316.002004314136855,5800.094426468932397
131,41006BC10000,Cannon Beach,307.918976518435215,5327.699872589403640
132,41006BC10300,Cannon Beach,441.621002332157786,11110.594585682172692
133,41006BC10301,Cannon Beach,315.598143755450337,5884.408417964545151
134,41006BC10400,Cannon Beach,400.000824931882619,10000.018168108514146
135,41006BC10500,Cannon Beach,369.777060682571573,8513.299026469641831
136,41006BC10600,Cannon Beach,310.727957853066357,5444.970424631832429
137,41006BC90000,Cannon Beach,1029.149195717409839,4526.908354833349222
138,41006BC90001,Cannon Beach,223.904043913594080,1369.451507982061685
139,41006BC90002,Cannon Beach,198.647759093959593,1012.484438117140144
140,41006BC90003,Cannon Beach,217.558217389764394,1402.559351543796311
141,41006BC90004,Cannon Beach,204.570029943082204,1149.672188003734846
143,41006CB00100,Cannon Beach,1116.868441105309103,62405.471185575544951
144,41006CB00200,Cannon Beach,275.150640093822574,4390.889481606840491
145,41006CB00201,Cannon Beach,348.524248472983231,6271.599093613433979
146,41006CB00300,Cannon Beach,371.975402123442336,8308.540650890945471
147,41006CB00402,Cannon Beach,397.125852913942254,9244.698868629719072
148,41006CB00500,Cannon Beach,428.750160667952684,11307.241719656398345
149,41006CB00700,Cannon Beach,345.257208836479492,6684.548776350647131
150,41006CB00800,Cannon Beach,401.287717723098069,9834.786284895350036
151,41006CB00900,Cannon Beach,333.911718831203416,5770.805564167703778
152,41006CB00902,Cannon Beach,426.549980886790138,11468.460990378207498
153,41006CB01000,Cannon Beach,385.799262517380782,8900.161776785376787
154,41006CB01101,Cannon Beach,414.206015655194392,9835.658016552810295
155,41006CB01200,Cannon Beach,288.220628601419662,5005.267828880217166
156,41006CB01300,Cannon Beach,308.397865026402883,5548.667317680219639
157,41006CB01400,Cannon Beach,307.018373268208848,5913.489544162606762
158,41006CB01500,Cannon Beach,380.541325067914840,7035.851878515027238
159,41006CB01600,Cannon Beach,367.718786735247932,6687.212553456883143
160,41006CB01700,Cannon Beach,487.160516565053513,9852.555570904904016
161,41006CB01701,Cannon Beach,299.314224799085423,4950.431029444736851
162,41006CB01800,Cannon Beach,268.083640640303884,392.638448859446669
163,41006CB01802,Cannon Beach,286.853905345074111,4773.743677641245085
164,41006CB01803,Cannon Beach,278.694889593412711,4489.580822744008401
165,41006CB01805,Cannon Beach,361.224601824642491,6280.656147697986853
166,41006CB01806,Cannon Beach,492.640779075664739,8826.796230285546699
167,41006CB01807,Cannon Beach,349.591267125752552,5972.494416065886071
168,41006CB01900,Cannon Beach,349.481386355226334,6739.652243141570580
169,41006CB02000,Cannon Beach,362.269061998097072,7265.158975744004238
170,41006CB02100,Cannon Beach,270.428336590984031,4262.236899248350710
171,41006CB02101,Cannon Beach,289.574326737420449,4717.267911615326739
172,41006CB02102,Cannon Beach,279.731834827718274,4579.757366435571384
173,41006CB02103,Cannon Beach,294.370678309412597,4824.894936167212109
174,41006CB02200,Cannon Beach,295.984443318760668,4883.201822916279525
175,41006CB02201,Cannon Beach,250.646990283665190,3766.631552246511092
176,41006CB02300,Cannon Beach,268.331343339574573,4196.307588553070673
177,41006CB02400,Cannon Beach,265.849406950724301,4136.690426395982286
178,41006CB02500,Cannon Beach,266.256861620991231,4242.658717331806656
179,41006CB02600,Cannon Beach,270.450409109466591,4261.247595369995906
180,41006CB02700,Cannon Beach,262.999897541364305,4069.420595228119510
181,41006CB02800,Cannon Beach,342.138465931063877,7439.833354460925875
182,41006CB03001,Cannon Beach,270.815769761644333,4524.733054629316030
183,41006CB03002,Cannon Beach,249.993091356870480,3750.340890973944170
184,41006CB03003,Cannon Beach,290.043453851636116,5172.054459458440760
185,41006CB03100,Cannon Beach,261.675190951728212,4171.452504988191322
186,41006CB03200,Cannon Beach,1044.521693601006291,34550.910085290153802
187,41006CB03300,Cannon Beach,454.097512759655388,9264.166832596672975
188,41006CB03401,Cannon Beach,806.072154871274506,33878.663444294936198
189,41006CB03402,Cannon Beach,684.997451525776455,26361.112820220194408
190,41006CB03403,Cannon Beach,844.778052884934937,28151.432101254504232
191,41006CB03404,Cannon Beach,751.669616920850103,20183.194043582268932
192,41006CB03405,Cannon Beach,337.186824669582393,4910.458976393689227
193,41006CB03406,Cannon Beach,323.785382182681019,6225.380753995665145
194,41006CB03407,Cannon Beach,333.007273906599607,5804.461159828972086
195,41006CB03408,Cannon Beach,389.996740999565077,7191.330009208641968
196,41006CB03409,Cannon Beach,671.568925219813764,23411.996948946587509
197,41006CB03410,Cannon Beach,361.001497091256169,6467.195173129157411
198,41006CB03411,Cannon Beach,655.349771742393159,16446.148315126250964
199,41006CB03500,Cannon Beach,2714.182226836928749,224906.585019211925101
200,41006CB03600,Cannon Beach,434.597866776148976,11722.184723615018811
201,41006CB03700,Cannon Beach,208.599671164255483,883.523249052209621
202,41006CB03800,Cannon Beach,326.279570901463046,6473.253606606409448
203,41006CB03900,Cannon Beach,319.999736159715781,6174.996947887455462
204,41006CB04000,Cannon Beach,319.998684222221357,6174.937408290116764
205,41006CB04100,Cannon Beach,303.999875120335048,5414.992052362994400
206,41006CB04300,Cannon Beach,314.651852360571127,5791.460711790655296
207,41006CB04400,Cannon Beach,306.779326188021230,5112.118028284192405
208,41006CB04401,Cannon Beach,336.991860486753012,6581.693848798015097
214,510000003400,Cannon Beach,36862.223937551098061,33318085.242284532636404
215,510000003900,Cannon Beach,13279.121928797660075,6827950.467276302166283
216,51019AA01300,Cannon Beach,242.808690097328110,2247.236113997537359
217,51019AA01400,Cannon Beach,619.400125477093411,19947.630060229945229
218,51019AA01401,Cannon Beach,219.829958967281016,1306.992133883589304
219,51019AA01500,Cannon Beach,730.485669782572472,26865.492657784052426
220,51019AA01600,Cannon Beach,300.000245382614310,3500.051191874364122
221,51019AA01601,Cannon Beach,400.000993418596863,10000.047899391087412
222,51019AA01700,Cannon Beach,300.001209337271746,5000.048048531846689
223,51019AA01800,Cannon Beach,600.000490746163678,14999.972796415557241
224,51019AA01900,Cannon Beach,300.000245359239329,5000.024834665284288
225,51019AA02100,Cannon Beach,300.001209322907698,5000.048048545034362
226,51019AA02200,Cannon Beach,299.998246624529258,4999.924898194150956
227,51019AA02300,Cannon Beach,169.998623705913246,1499.971232759932946
228,51019AA03300,Cannon Beach,379.999423420692608,8924.949682368112917
229,51019AA03500,Cannon Beach,379.998459478476946,8924.928614596210537
230,51019AA03600,Cannon Beach,338.077253273234760,6500.017383018085638
231,51019AA03800,Cannon Beach,388.078591272876963,9249.988589181006319
232,51019AA03900,Cannon Beach,310.000512954781698,5250.033394666444110
233,51019AA04000,Cannon Beach,359.997924289599439,7874.882059360750645
234,51019AA04100,Cannon Beach,309.999478185827854,5250.006109098900197
235,51019AA04300,Cannon Beach,359.998888239337589,7874.981397863643906
236,51019AA04400,Cannon Beach,266.597254821747640,3329.879504694768002
237,51019AA04500,Cannon Beach,266.801481030966329,3340.090788243646330
238,51019AA04600,Cannon Beach,266.599253542265842,3329.981551413774469
239,51019AA04700,Cannon Beach,300.000245353471769,5000.011899400144102
240,51019AA04800,Cannon Beach,299.998246609109628,4999.924897436367246
241,51019AA04900,Cannon Beach,300.000245387967368,5000.024835742586220
242,51019AA05000,Cannon Beach,299.999210598263289,4999.973981639525846
243,51019AA05200,Cannon Beach,299.999210592830991,4999.961489042572794
244,51019AA05300,Cannon Beach,300.000245358183747,5000.024834638894390
245,51019AA05301,Cannon Beach,369.998191895872992,8499.913364505402569
246,51019AA05401,Cannon Beach,369.999155842225377,8499.978146192383065
247,51019AA05600,Cannon Beach,531.720930714938390,15233.100720726550207
248,51019AA05605,Cannon Beach,300.000245372553991,5000.023949496204295
249,51019AA05602,Cannon Beach,300.000245342764174,5000.024834240206474
250,51019AA05603,Cannon Beach,299.998246609109628,4999.924897795470315
251,51019AA05604,Cannon Beach,299.999210583899128,4999.973981293617726
252,51019AA05700,Cannon Beach,299.998246638893249,4999.924898540051800
253,51019AA05701,Cannon Beach,300.000245358183747,5000.024834638894390
254,51019AA05800,Cannon Beach,300.000245358196253,4999.974865896735537
255,51019AA05801,Cannon Beach,300.001209307488125,5000.048047787250653
256,51019AA05900,Cannon Beach,300.002244122690058,5000.074804497947298
257,51019AA06000,Cannon Beach,299.998246638899502,4999.924013397353519
258,51019AA06100,Cannon Beach,300.000245358190000,5000.025720140687554
259,51019AA06200,Cannon Beach,492.775906904050089,12463.241854635376512
260,51019AA06300,Cannon Beach,460.128266590080443,12798.360256906267750
261,51019AA06400,Cannon Beach,441.782331670888880,11544.087544342064575
262,51019AA06500,Cannon Beach,300.002244137054049,5000.074804843855418
263,51019AA06501,Cannon Beach,400.000993388813242,10000.047897875505441
264,51019AA06502,Cannon Beach,300.002244107273896,5000.074993323773015
265,51019AA06503,Cannon Beach,300.000245387979930,4999.974866641317021
266,51019AA06600,Cannon Beach,312.867176594032685,5715.031819690619159
267,51019AA06700,Cannon Beach,310.607096415090723,5504.928019936454803
268,51019AA06800,Cannon Beach,300.000245358183747,5000.024834997990183
269,51019AA06801,Cannon Beach,300.000245373603320,5000.024835396678100
270,51019AA06900,Cannon Beach,299.998246593690055,4999.924897037686605
271,51019AA07000,Cannon Beach,402.391650843637137,10026.379684826319135
272,51019AA07100,Cannon Beach,694.201393567613650,27265.318506451432768
273,51019AA07200,Cannon Beach,375.765644483274741,8188.194922142487485
274,51019AA07201,Cannon Beach,289.894638984780329,4793.366249114448692
275,51019AA07202,Cannon Beach,300.000245342764174,5000.024834240206474
276,51019AA07300,Cannon Beach,210.683324406679844,1922.512729881029600
277,51019AA07400,Cannon Beach,327.888386089447295,2763.448179622560019
278,51019AA07500,Cannon Beach,173.677830107575232,1782.294706001875284
279,51019AA07501,Cannon Beach,1167.244605022229507,57304.416467279283097
280,51019AA07600,Cannon Beach,399.999958619162101,10000.022914582668818
281,51019AA07605,Cannon Beach,399.998994655146191,9999.947962175359862
282,51019AA07611,Cannon Beach,1000.000449334489986,45000.145243033744919
283,51019AA07700,Cannon Beach,562.098664270366498,17775.141703876008251
284,51019AA07701,Cannon Beach,350.001601072994731,7500.080090526261301
285,51019AA07704,Cannon Beach,349.999602292734096,7499.967659358954734
286,51019AA07705,Cannon Beach,391.283211508122179,9879.626905410992549
287,51019AA07800,Cannon Beach,223.130183253091758,1964.431852363160942
289,51019AB00100,Cannon Beach,619.997028431299782,23124.774889542200981
290,51019AB00101,Cannon Beach,705.998986684864121,28499.797825960860791
291,51019AB00900,Cannon Beach,2981.053164004031714,194071.826186548249098
292,51019AB00902,Cannon Beach,5107.668040083025517,542969.217675891472027
293,51019AB01000,Cannon Beach,799.999917239166052,39999.833989373903023
294,51019AB01100,Cannon Beach,1085.831507177789490,46949.239618060375506
295,51019AB01500,Cannon Beach,1076.314910962530575,46604.748641183607106
296,51019AB01600,Cannon Beach,283.639125316108561,4390.130831146377204
297,51019AB01700,Cannon Beach,1070.000394606651298,62500.019487053446937
298,51019AB01800,Cannon Beach,300.002244137054049,5000.074804843855418
299,51019AB01900,Cannon Beach,294.000739712179097,4699.990718348256451
300,51019AB02000,Cannon Beach,356.001659515263498,7800.077670315958130
301,51019AB02100,Cannon Beach,375.666783775915235,9093.717432685834865
302,51019AB02200,Cannon Beach,153.153163921771352,922.867086032631960
303,51019AB02300,Cannon Beach,667.086529332589066,23129.025179897776979
304,51019AB02400,Cannon Beach,1256.714321172819155,47369.875029169568734
305,51019AB02500,Cannon Beach,1285.748904749229496,50956.158513962196594
306,51019AB02600,Cannon Beach,1309.358365625018450,54299.575924266391667
307,51019AB02700,Cannon Beach,1375.452940183541614,56807.575609820189129
308,51019AB02800,Cannon Beach,1523.969516449976254,102247.358252956357319
311,51019AC00100,Cannon Beach,530.637579804585926,17954.283256744649407
312,51019AC00200,Cannon Beach,1449.121381265533728,62197.336763503153634
313,51019AC00500,Cannon Beach,1417.038652840840768,60778.302900641763699
314,51019AC00600,Cannon Beach,682.337144819048945,28556.792107636418223
315,51019AC00700,Cannon Beach,1386.977725344880128,59100.462569031347812
